Problem: falling metrics
Problem Type: Execution
Firm: Amazon
**Candidate:** And   so   as   a   customer   ...   I   mean,   this   has   happened   to   me   several   times   in   the   last,   um,   uh,   with,   with,   with,   with   Amazon   in   the   last,   uh,   year,   where   during   moments   of   what   feel   like   more   of   like   a   crisis,   um,   the   delivery   windows   become   less   and   less   available.   And   in   that   case,   I   presume   it's   because   the   orders   are   up.   But,   um,   but   in   general,   if   there's   less   labor   supply,   um,   from,   from   Instacart   to   go   pick   the   groceries   and   bring   them   by,   then   that   becomes   a   less   interesting   option   for   me   as   a   customer,   and   I,   I'd   probably   go   somewhere   else   to   order   and   just   do   it   myself.  
**Interviewer:** Ah,   okay,   interesting.   That   is,   that   is   a   fair   point.   Um,   so,   um,   I   could   see   that   happening.   And,   and   I,   I   know   what   you're   talking   about.   Certainly   in,   in   periods   of   spiked   demand   does   delivery   windows   increase,   but   the,   the   sort   of   logic   of   like,   hey,   if   our,   if   our   essentially   drivers   and,   and   shopper   agents   were   getting   poached,   and   then   the   delivery   times,   um,   you   know,   spiked   up,   uh,   I   could   see,   you   know,   users   bulking   and   basically   not   placing   orders.   So   that's   interesting.   Um,   let   me   ask   you   this.   Like,   if   you,   if   you   wanted   to   try   and   prove   or   disprove,   uh,   whether   that   was   going   on,   and   again,   you   can   wave   your   magic   wand-  
**Candidate:** Hm.  
**Interviewer:** ...   and   pull   some   data,   what   type   of   data   would   you   want   to   see   whether   that   hypothesis   holds,   holds   water?  
**Candidate:** Ah.   Um,   so   I   think,   let,   let   me   think   about   this   for   a   sec.   I'll,   I'll   just   go   ahead   and   think   out   loud.  
**Interviewer:** Yeah.  
**Candidate:** Um,   so   I   guess   I   suppose   one   thing   we   could,   we   could   look   at   is,   um,   the,   whether   the   gap   ...   For,   for   those   who   did   submit   orders,   whether   the   gap   in   time   order   is   placed   until   time   delivery   is   made,   um,   has   increased.  
**Interviewer:** Okay.  
**Candidate:** Um,   I   think   we   could   also   look   at,   um,   in   the,   in   the,   in   the   clickstreams   data,   I   imagine   we   could   look   at,   um,   at   the   point   of   purchase   when   you're   told   when   your   delivery   window   is.  
**Interviewer:** Mm-hmm.  
**Candidate:** If,   if   we're   seeing   extra   drop   off   there   or   somewhere   else.  
**Interviewer:** Okay.   Okay.  
**Candidate:** Um,   yeah,   so   those   are   the   two   ideas   that   pop   off   the   top   of   my   head.  
**Interviewer:** Got   it,   okay.   So   you   wanna   look   at   essentially,   uh,   the   first   thing   you   mentioned   was   average   deliveries,   like   how   long   does   it   take   to   get   the   delivery?  
**Candidate:** Yeah.  
**Interviewer:** And,   and   the   second   thing   you   wanna   look   at   is   are   we   seeing   a   bigger   drop   off   from   when   you   first   see   the   window   to,   to   placing   an   order   than-  
**Candidate:** Mm-hmm.  
**Interviewer:** ...   than   we   typically   see.   Um,   okay.   Sounds   good.   So,   um,   we   can   look   those   both   up.   Uh,   average   delivery   time   is,   um,   on   par.   There's   no,   no   material   changes   that,   that   seem   outside   of,   um,   regular   standard   deviation.   Uh,   and   sim-   similar   with   the   drop   off   rate.   We're   not   seeing   like   a   spike   in,   in   drop   off   rates.   So   it   doesn't   seem-  
**Candidate:** Yeah.  
**Interviewer:** ...   like,   um,   it   doesn't   seem   like   that   might   be   the   case.  
**Candidate:** Yeah,   this   feel-  
**Interviewer:** But   could   I-  
**Candidate:** And   if   ...   It   didn't   feel   like   a,   a   super   strong   hypothesis   to   me,   but,   um,   since   you   brought   up   the   Uber,   um,   the   Uber   thing,   I,   I,   I   wanted   to,   I   wanted   to   check   in   on   it.   You   know,   I   wonder   if,   um,   this   might   be,   uh,   potentially   a   self-inflicted   wound.  
**Interviewer:** Okay.  
**Candidate:** Where   we've,   um,   where   we've   done   some,   we've   changed   something   about   our,   either   our   recommendation   or   sorting   algorithms   for   shoppers-  
**Interviewer:** Okay.  
**Candidate:** ...   that,   uh,   they're   not,   they're,   they're   just   purchasing,   their   average   cart   is   less   than   it   was,   um,   before.  
**Interviewer:** Okay.   Um,   well,   so   what,   um,   what   information   would   you   like   to   know   or   sort   of   what's-...   um,   yeah.   What's,   w-   what   would   you,   I   guess,   ask   your   fellow   PMs   or   what   type   of   information   would   you   try   and   gather   there?  
**Candidate:** Yeah.   I   mean,   the   easiest   thing   would   be   to   look   and   see   if   there   were   any,   um,   any   A/B   tests   run   or   changes   made   to,   um,   to   the   shopping,   uh,   to   the,   to   the   shopping   s-   site   to,   um   ...   that,   that   may   have   had   a   negative   impact.  
**Interviewer:** Got   it.   Okay.  
**Candidate:** Um,   yeah.  
**Interviewer:** Makes   sense.   So,   um,   I   can   retrieve   some   of   that   info   for   you   here.   Uh,   essentially,   um,   there   are   three   main   experiments   running   right   now-  
**Candidate:** Hmm.  
**Interviewer:** ...   three   A/B   experiments   going   on.   Uh,   the   first   is   there's   an   experiment   that,   um,   they're   playing   around   with   the   logic   that   depays-   uh,   displ-   displays   the   suggested   items   that   show   up   on   the   home   screen   of   the   app   when   you-  
**Candidate:** Hmm.  
**Interviewer:** ...   pull   it   forward.   So   when   you   log   into   Instacart,   uh,   as   a,   as   a   user,   Instacart   will   suggest   items   that   you've   purchased   in   the   past   to   put,   to   put   back   in   your   cart   this   time.  
**Candidate:** Yeah.  
**Interviewer:** And   this   experiment   is   essentially   changing   the   logic   of   how   those   suggestions   work.  
**Candidate:** Yeah.  
**Interviewer:** That,   that's   the   first   thing.   Uh,   the   second   thing   that   your   teammates   mentioned   is   there's   another   experiment   going   on   where   some   users,   uh,   this   is   30%   of   users,   are   receiving   new   push   notifications   which   are   alerting   them   about   deals   happening,   um,   in   their   local   area   for   the   grocery   stores   that   are   supported   on   Instacart.   So   for   example,   this   would   be   like,   you   know,   if,   if,   uh   ...   I   actually   don't   know   if   Albertsons   is   in   Seattle,   but   like,   uh,   if   Albertsons   were   having   a   special,   Instacart   might   notice   you   as   an   Insta-   notify   you   as   an   Instacart   customer.   Like,   "Hey,   you   know,   if   you   shop   at   Albertsons   this   week,   you'll   get   10%   off   all   your   stuff."  
**Candidate:** Okay.   Can   I,   can   I,   can   I   d-   dive   into   that   one-  
**Interviewer:** Sure.  
**Candidate:** ...   um,   really   quickly?   And   then   I,   I   do   wanna   get   back   to   the   third   one   but   I   wanna   ask   a   couple   of   questions   on   that   one.   Um,   so   th-   this   is   a   new   push   notification   strategy   that   didn't   exist   before.  
**Interviewer:** Correct.   Entirely   new.   We   didn't   do   this   in   the   past.  
**Candidate:** Okay.   And   then,   um,   and   then   the,   um   ...   And,   and,   and   what   those   push   notifications   do   is   they   alert   customers   to   specific   deals   in   their   local   area?  
**Interviewer:** Yeah.  
**Candidate:** Okay.   Um,   I   have   one   other   follow-up   question   on   the   prompt   to   make   sure   I   didn't   misunderstand   the   prompt   at   the   beginning.  
**Interviewer:** Yeah.  
**Candidate:** When   you   said   orders   are   down   4%,   do   we   mean   the,   like,   average   order   size   or   do   we   mean   the   total   amount   of   orders?  
**Interviewer:** That's   a   good   question.   We   mean   the   total   amount   of   orders.  
**Candidate:** Okay   'cause,   um,   my   initial   instinct   was,   if   we're   push   notifying   on,   on   discounted   deals,   um,   maybe   we're   having   more   mo-   more   and   more   orders   but   the   average   ticket   on   those   orders   is   lower.   But   it   sounds   like   that's   not   the   case.   So,   um-  
**Interviewer:** Yeah.   That's   a   good   question   and   good   clarification.   The   4%   down   is   definitely   on   the   absolute   number   of   orders   placed,   not   the   average   order   size.  
**Candidate:** Got   it.   Great.   Okay.   Thank   you.  
**Interviewer:** Yeah.   Um,   and   the,   and   the   third   experiment   running   is   that   there   is   an   update   to   essentially   the   color   palette   that's   been   used   and   the   layout   of   the,   um   ...   two   parts   of   the   checkup   flow.   Basically   the   checkout   overall   and   the   part   that   comes   right   before   the   checkout   which   is   when   the   user   has   selected   the   items   that   they   want   in   their   cart-  
**Candidate:** Mm-hmm.  
**Interviewer:** ...   um,   and   they   go   to   check   out,   there's   a   screen   right   before   that   that   basically   says,   you   know,   if   this   order   is   ...   Or   sorry,   if   this   good   is   not   there,   how   do   you   want   ...   Do   you   want   us   to   just   not   deliver   it   or   do   you   want   us   to   replace   it   with   something   else?   There's   basically   this   UI   that   lets   people   make   a   decision   then.   So   the   color   palette   and   the   layout   o-   of   those   screens   has   been   adjusted   to   match,   um,   some   redesign   that   happened   to   the   general   Instacart   app   about   three   months   ago.  
**Candidate:** Yeah.  
**Interviewer:** But   this   part   was   done   last.   It   was   sort   of   the,   the   last   to   be   done.  
**Candidate:** Got   it.   Got   it.   Okay.   Well,   um,   I   will,   um   ...   So   taking   those,   I,   I'm   gonna,   I'm   gonna   break   those   down   into   four   parts.  
**Interviewer:** Okay.  
**Candidate:** Re-   recognize   that   the,   the   color   and   layout   are   one   and   the   same,   but   I'm   gonna   split   those   two   things   apart.  
**Interviewer:** Okay.  
**Candidate:** And,   and   say   that   my   ...   So   I'm   gonna   go   ahead   and   say   that   my   hypothesis,   um,   is   that   the,   the   two   most   important   things   for   us   to   dig   into   here   are   the   logic   of   suggested   items-  
**Interviewer:** Okay.  
**Candidate:** ...   and,   and   the   layout   of   the   checkout   flow.  
**Interviewer:** Okay.  
**Candidate:** Um-  
**Interviewer:** And   why   do   you   say   those   two   things   out   of   the   four   that   I   mentioned?  
**Candidate:** You   know,   I   mean,   it's,   it's,   it's   well   established   now   that,   um,   that   the   algorithmic   recommendations   work.  
**Interviewer:** (laughs)  
**Candidate:** And   homepage   is   a   good   place   to   put   algorithmic   recommendations.  
**Interviewer:** Yeah.  
**Candidate:** So   my   instinct   is   very,   very   small   changes   on,   um,   on   algorithms,   uh,   recommending   what   to   buy,   um,   when   you   open   an   app   could   have   really   big   impacts   on   our   business.  
**Interviewer:** Okay.  
**Candidate:** So   that's,   that's   the   one   I   would   investigate   really   deeply.   I   would   guess   whoever   made   that   change   is,   is   watching   that   closely.   I   would   hope   so.  
**Interviewer:** Okay.  
**Candidate:** Um,   and   then   on   the   layout,   I   think   ...   You   know,   the   color   I   think   is   a,   is   a,   uh,   is   important   and   it   is   ...   You   know,   we've   ...   I've   worked   in   places   where   I've   made   a   button   blue   and   made   more   money   because   of   it.   So   I   know   that   that's   ...   that   can   happen.  
**Interviewer:** Yeah.  
**Candidate:** Um,   it's   just   less   likely   than   a   layout   change.   And   I   could   envision   a   world   here   where   like,   um,   a   layout   change   on   ...   especially   on   the   replace   item   flow   is   ...   has,   has,   um,   has   changed   in   such   a   way   that   previously   we   were   getting,   like,   lots   of   replacements   and   now   the,   the   decision   is,   um,   that   instead   of   getting   a   replacement   we're   just,   you   know,   removing   an   item   from   an   order,   um,   which,   which   could   have   had   a,   a   negative   impact.   Um,   I'll   give   an   example   for   me   personally.   I   actually   (laughs)   pretty   recently   in   this   exact   experience   is,   um,   for   a   long   time,   um,   when   I   ordered   on   Amazon,   um,   they   would   recommend   a   replacement   only   if   there   was   a   close   replacement.  
**Interviewer:** Okay.  
**Candidate:** And   so,   like,   I   guess   ...   I,   I   never   remember   which   one's   type   one   and   which   one's   type   two   error,   but   I,   my   ...   They   would   default   to   a   smaller   cart....   because,   you   know,   if   they   couldn't   find   something   that   was   pretty   close-  
**Interviewer:** Yeah.  
**Candidate:** ...   um,   they   would   get   rid   of   it.   The   last   time   I   ordered   and   there   wasn't   a   replacement,   they   just,   like   (laughs)   the   shopper   just   threw   some   random   thing   in   there   that,   um,   had,   was   nothing   like   what   I   wanted   and   so   I   had   to   actively   go   in   and   say,   like,   "No,   thank   you.   I   do   not   want   that."  
**Interviewer:** Yeah.  
**Candidate:** And   so   they   just   there,   they   have   an   error   of   inclusion   rather   an   error   of   exclusion   and   I   could,   I'd   be   pretty   concerned   about   that   potentially   happening   over   here   as   well.  
**Interviewer:** And   so   your   hypothesis   there   is,   just   to   make   sure   I   understand,   you're   saying   that   that   behavior   of,   like,   then   getting   the   wrong   items,   uh,   might   frustrate   people   and   they   might   just   place   less   orders   in   the   future   and   that   would,   that   would   lead   to   the   order   decrease   that   we're   seeing?  
**Candidate:** s-  
**Interviewer:** Or   am   I   misunderstanding?  
**Candidate:** S-   yeah.   Um,   it   is,   uh,   either,   like,   uh,   I'm,   I'm,   yeah.   So   I   am...   Thank   you   for   clarifying.   I   am   considering,   I,   I   suppose   two   things.   Like   one   is   that,   that,   that   that   would   throw   off   a   customer.   They   may   not   want   to   place   an   order   in   the   future.  
**Interviewer:** Okay.  
**Candidate:** That   could   certainly   happen.   Another   could   just   be   as   simple   as   layout   change,   especially   I,   I   mean   adding   the   color   change   to   it   would   exacerbate   this.   It's   just,   it's   just   unfamiliar   for   the   customer.   And   there   may   even   just   be,   you   know,   it's   not   that   hard   to   engender   like   a   one   or   two   percentage   points   of   mistakes   of   people   accidentally   canceling   orders.  
**Interviewer:** Yeah.  
**Candidate:** And   that   would,   from   my   perspective,   like   I've   had   experiences   where   I've   put   like   37   items   into   a   cart   and   then   them,   them   not   get   purchased   and   I'm   like,   "Forget   it.   I'm   just   going   to   the   store."  
**Interviewer:** Yeah.  
**Candidate:** So,   um-  
**Interviewer:** Okay.  
**Candidate:** I   could,   I   could   also   see   that   happening.  
**Interviewer:** Okay.   Cool.   Um,   well   let's...   So   thank   you   for   clarifying   why   you   sort   of   highlighted   those   two   things   out   of   the,   the,   the   four   as   you   sort   of   broke   it   down.   Um,   starting   at   sort   of   the,   the   top   of   those.   Uh,   the   first   one   was   you   talk   about   sort   of   the   algorithmic   changes   on   the   logic   there.   Um,   if   you,   you   could,   you   know,   grab   the   PM   that's   running   that   experiment,   what   would   you   want   to   ask   him   or   her   to   see   if   it   feels   like   maybe   that's   having   an   impact   or   what-  
**Candidate:** (laughs)   Oh,   I   would   hope   that   they   ran   an   A/B   test.   (laughs)  
**Interviewer:** (laughs)  
**Candidate:** And   I   would   hope   I   could   look   at   the   results   of   their   A/B   test.  
**Interviewer:** Okay,   so-  
**Candidate:** Um,   you   know,   yeah.  
**Interviewer:** Got   it.   So   they   did   run   an   A/B   test,   um,   and   they   did   look   at,   uh,   you   know,   for   the,   the   folks   in   the   new   variant,   um,   how   many   of   those   sort   of   suggested   items   did   they   end   up   placing   into   their   cart   versus,   you   know,   how   many   on   average   versus   the,   the   old   variant   and   what   was   the   average   cart   size   versus   the   old   cart   size   and   what   was   the   average   likelihood   of   opening   the   app   to   placing   an   order.   So   what   was   the   drop-off   for   folks   in   both   variants?   And   they   found   that,   um,   basically   across   the   board,   they   saw   about   a   one   to   2%   increase   in   those   metrics.   So   about   1%   to   2%   more   items   from   the   suggestive   list   were   getting   added,   um,   slightly   higher   performance   of   actually   completing   the   actual   order   and   slightly   higher   order   value.  
**Candidate:** Great.   So   now   we   gotta   find   like   negative   6%   (laughs)   on   sales   loss.   (laughs)  
**Interviewer:** (laughs)  
**Candidate:** Um,   well,   good.   Well,   let's   dial   that   one   up   and   then   we   won't   (laughs)   and   then   we   won't,   uh,   we,   we'll   be   down   to   just   negative   one,   I   suppose.  
**Interviewer:** Okay.  
**Candidate:** Um,   okay.   Yeah.   Let's,   let's,   let's   keep   going.  
**Interviewer:** Yeah.  
**Candidate:** Maybe   jump   to   three   and   then   we   can,   if,   if   three   doesn't   feel   like   the,   um,   the   right   one,   then   we   can   go   back   to   push   notifications.  
**Interviewer:** Okay.   Cool.   Um,   so   we'll   skip   push   notifications.   On   the   third,   um,   you   know,   again,   just,   if   you   could   wave   your   magic   wand,   what   type   of   metrics...   And   there   w-   there   is   an   A/B   test   running   on   this,   but   what   type   of   metrics   would   you   ideally   wanna   see   for   this   third   experiment   about-  
**Candidate:** Yeah.  
**Interviewer:** ...   changes?  
**Candidate:** Yeah.   I   mean,   you   know,   I   think   in   commerce   my   experience   is   it's   super   important   to   always   measure   the   purchase,   um,   if   you   can,   right?   Like   get   to   as   close   to   measuring   the   purchase   as   possible   against   every   single   A/B   test.   So-  
**Interviewer:** Okay.  
**Candidate:** ...   like   the   o-   there   should   be   a   metric,   um,   of   aggregate-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   both   total   orders   and   aggregate   purchase   value   on   both   this   A/B   test   and   the   first   one   we   described.  
**Interviewer:** Okay.   Yeah.  
**Candidate:** Um,   so   I   want   that   one.  
**Interviewer:** Got   it.  
**Candidate:** But   you   can   also   look   at   other   pieces   of   data   too.   Um,   in   d-   in,   in   particular   we   can   look   at,   um,   just   the,   especially   in   the,   the,   both   the   pre-checkout   page   and   the   checkout   page.   Hopefully   we   can   A/B   test   the   number   of,   um,   the   number   of,   uh,   like   dropped   shopping   carts   that   happened   at   each   of   those   stages.  
**Interviewer:** Okay.  
**Candidate:** Um,   and   that   should   give   us   a   much   more   direct,   um,   sense   as   to,   um,   whether   this   was   the   cause   of   the   reduction   in   orders.  
**Interviewer:** Okay.   Sounds   good.   So   the   information   we've   got   is   that   this   experiment,   um,   was   running   on   30%   of,   of   live   customers.   So   70%   were   in   the   default-  
**Candidate:** Wow.  
