Problem: measuring success of a bank app
Problem Type: Execution
Firm: 
Channel: RocketBlocks
**Candidate:** But   I   think   what's   most   important   is   understanding   what   people   are   going   on   for,   and   in   an   ideal   world,   how   long   that   activity   should   take   a   normal   user   to   be   able   to   accomplish.  
**Interviewer:** Yeah.  
**Candidate:** And   I   think   there   are   several   different   ways   that   you   could   go   about   doing   that   which   I'm   happy   to   go   into   further.   But   I   really   think   that   it   is   specific   to   the   activity   that's   being   accomplished   and   the   intention   that   the   user   is   opening   the   application   with.  
**Interviewer:** Got   it.   Okay.   Um,   I   think   that   makes   sense.   I   completely   understand   like   different   use   cases   will   have   sort   of   different   expected,   um,   sort   of   time   commitments   to,   to   take   care   of   even   if,   even   if   everything   is   running   smoothly.   Um,   cool.   Sounds   good.   So   we,   we   talked   about   a   lot   of   different   metrics.   You   sort   of   classified   things   into   revenue....   uh,   and   user   adoption   metrics,   um,   which   I   think   sort   of   makes   sense.   Um,   one   sort   of   last   tactical   question.   U-   On,   like,   user   adoption,   one   thing   I   don't   think   we   spent   much   time   talking   about   is,   like,   uh,   you   know,   should   we   track,   like,   the   number   of   times   people   log   in   a   day?   Like,   do   number   of   just   pure   logins   matter?   Or,   um,   we   did   talk   about   time   spent   on   app,   but,   like,   tell   me   about,   like   ...   Are   logins   ...   Is   that   type   of   sort   of   general   metric   that's   often   used   in,   like,   the   consumer   world?   Like,   you   know,   tracking   daily   active   users   for   someone   like   Snapchat   or   Facebook   or   whoever.   Um,   does,   does   that   metric   make   sense   here?   Should   we   care   about   logins?   Should   we   track   that?  
**Candidate:** I,   I   think   it   would   be   an   interesting   piece   of   information,   but   I   do   also   think   that   what   you   would   learn   from   counting   logins   is   also   attained   by   some   of   the   other   information   that   we   discussed.   So   by   looking   at   logins,   we're   seeing   how   actively   are   people   actually   using   the   application.   But   this   is   a   banking   application,   and   frequency   of   use   is   not   necessarily   (laughs)   an   indicator   that   the   application   is   performing   well,   right?   Like,   you   don't   wanna   log   on   to   your   JP   Morgan   or   Chase   account,   like,   20   times   in   a   day.   That   sounds   terrible.  
**Interviewer:** (laughs)  
**Candidate:** Um,   (laughs)   no-   no   one's   interested   in   that.  
**Interviewer:** Yeah.  
**Candidate:** And   so   what   I   think   that   we're   tracking   with   logins   is   ...   What   we're   trying   to   track   is   activity,   right?   And   we've   tracked   activity   pretty   well   through   transactions.   And   we   can   further   categorize   transactions   by   transactions   that   occur   kind   of   in   the   app   or   in   the   app   through   other   apps   and   then   transactions   that   occur   with   a   material   debit   card.   And   that   will   also   provide   you   with   some   more   understanding   of   the   frequency.   That   being   said,   frequency   is   important   to   track   above   a   certain   time   range.   If   someone's   not   logging   in   once   a   week,   that's   a   pretty   good   indicator   that   they're   not   really   actively   using   our   banking   app   anymore.  
**Interviewer:** Hmm.  
**Candidate:** And   that's   progressive.   So   I   would   say   that   it   really   depends   on   the   amount   or   the   time   unit   that   you're   interested   in.   And   that   as   long   as   someone   is   logging   into   that   app   once   or   twice   a   week,   you're   probably   good   on   that   front,   and   then   the   other   granularity   you   would   get   from   the   logins   is   really   better   covered   by   some   of   the   other   metrics   we   discussed.  
**Interviewer:** Ah.   Okay.   That-   that's   an   interesting   distinction.   So   essentially,   you're   saying,   you   know,   transactions,   um,   and   m-   and   measuring   ...   The   metrics   we've   set   out   to   measure   transactions   are   gonna   capture   whether   we   have,   like,   a   healthy   rate   of   activity   happening   on   the   app,   including   the   fact   that   you   need   to   log   in   to   do   those   transactions.   Um,   but   maybe   logins   is   useful   for   predicting,   uh,   or   thinking   about   which   percentage   of   the-   the   population   is   maybe   likely   to   churn   or   something   like   that.   Because   of   what   you're   saying,   like,   if   they're   not   lo-   You   know,   like,   something   like   percent   of   users   who   haven't   logged   in   in   two   weeks   or   something.  
**Candidate:** Yeah.  
**Interviewer:** That   may   actually   be   an   interesting   metric   and   an   actionable   metric,   because   maybe   there's   some   sort   of   product   changes   or,   you   know,   enhancements   you   could   do   targeted   toward   that   group.  
**Candidate:** Exactly.  
**Interviewer:** Got   it.   Okay.   Sounds   good.   Um,   last   question   is   ...   So   again,   we've   talked   about   these,   you   know,   a   lot   of   different   metrics.   Revenue   and   user   adoption   were   the   two   big   buckets   that   you   used,   and   sort   of   used   to   create   an   organization   around   these.   Um,   if   you   had   to   prioritize   a   few,   like   think   about,   you   know,   the   metrics   where   when   you   walk   in   in   the   morning,   you're   gonna   glance   at   and   make   sure   nothing   seems   like   it's   gone   crazy   wrong.   Of   all   the   type   of   stuff   we   talked   about,   would   you   prio-   Which   ones   would   you   prioritize   and   why?  
**Candidate:** Yeah.   That's   a   great   question.   Um,   I   think   from   ...   And   we're   still   talking   from   the   application's   perspective,   right?  
**Interviewer:** Yep.  
**Candidate:** Gotcha.   I   think   that   I   would   definitely   want   to   know   the   number   of   transactions   that   were   executed   in   the   app   versus   executed   physically.   And,   and,   and   that's   just,   like,   the   most   important   off   the   bat   for   me,   because   the   trend   will   tell   me   what   the   actual   adoption   is   of   using   the   application   and   also   the   adoption   of   it   relative   to   actual   physical   methods   of   payment   or   receipt.   So   that   would   be   my   number   one   far   and   away.  
**Interviewer:** Got   it.  
**Candidate:** Um,   and   then   I   think-  
**Interviewer:** That's,   like,   the   big,   like,   if   something's   gone   ...   If   that's,   like,   up   20%   or   down   20%,   it'd   be   like   five   alarm   fire.   Well,   maybe   not   if   it's   up   20%.  
**Candidate:** Exactly.  
**Interviewer:** Although,   that   would   probably   be   interesting   as   well.   (laughs)  
**Candidate:** Right.   And   I   think   kind   of   in   keeping   with   that,   I'd   be   interested   in   the   notional   that's   actually   being   transacted   on   the   app.   Once   again,   because   that   is   related   to   our   revenue   and   also   because   it's   a   similarly   indicative   metric   of   how   much   the   application   is   being   used   for   its   primary   purpose,   which   is   payments.  
**Interviewer:** Okay.   Sounds   good.   Any   last,   uh,   any   last   bits   you   wanna   add?  
**Candidate:** Yeah,   absolutely.   I   think   kind   of   overall   from   a   product   perspective,   while   you   do   wanna   track   the,   the   revenue   that   this   application   is   producing   for   your   company,   the   user   experience   is   what   you   shouldn't   ever   take   your   eye   off   of,   because   that   will   be   the   path   to   all   of   your   future   customer   satisfaction   and   actually   delivering   value.   Um,   so   while   as   a   product   manager   you   might   be   prioritizing   the   revenue   so   you   can   understand   it,   that   should   never   be,   um,   kind   of   instead   of   the   user   experience,   because   they   go   hand-in-hand,   and   you're   there   primarily   to   deliver   a   great   product.  
**Interviewer:** Got   it.   Sounds   good.   Thank   you.
